Date: 108.895904685 | Trip: 1214 | Vehicle ID: 450 | Total Distance: 1.765 km | Total Time: 155.600 secs | Total Idling Time: 17.000 secs | Total Fuel Consumed: 0.077 L | Total CO2 Emissions: 97.103 g
Date: 108.910185537 | Trip: 1215 | Vehicle ID: 450 | Total Distance: 103.264 km | Total Time: 3565.800 secs | Total Idling Time: 33.800 secs | Total Fuel Consumed: 8.837 L | Total CO2 Emissions: 953.503 g
Date: 109.007487509 | Trip: 1217 | Vehicle ID: 450 | Total Distance: 3.359 km | Total Time: 261.400 secs | Total Idling Time: 0.000 secs | Total Fuel Consumed: 0.124 L | Total CO2 Emissions: 158.577 g
Date: 109.016446704 | Trip: 1218 | Vehicle ID: 450 | Total Distance: 3.879 km | Total Time: 245.500 secs | Total Idling Time: 0.000 secs | Total Fuel Consumed: 0.178 L | Total CO2 Emissions: 182.020 g
Date: 110.096397343 | Trip: 1222 | Vehicle ID: 450 | Total Distance: 3.887 km | Total Time: 264.600 secs | Total Idling Time: 0.000 secs | Total Fuel Consumed: 0.177 L | Total CO2 Emissions: 194.318 g
Date: 110.950104111 | Trip: 1224 | Vehicle ID: 450 | Total Distance: 1.856 km | Total Time: 206.300 secs | Total Idling Time: 94.300 secs | Total Fuel Consumed: 0.128 L | Total CO2 Emissions: 121.422 g
Date: 111.782408213 | Trip: 1228 | Vehicle ID: 450 | Total Distance: 4.032 km | Total Time: 353.800 secs | Total Idling Time: 37.900 secs | Total Fuel Consumed: 0.160 L | Total CO2 Emissions: 176.861 g
Date: 115.833813176 | Trip: 1240 | Vehicle ID: 450 | Total Distance: 1.064 km | Total Time: 199.800 secs | Total Idling Time: 73.800 secs | Total Fuel Consumed: 0.067 L | Total CO2 Emissions: 72.163 g
Date: 115.870647741 | Trip: 1241 | Vehicle ID: 450 | Total Distance: 9.369 km | Total Time: 889.100 secs | Total Idling Time: 76.100 secs | Total Fuel Consumed: 0.449 L | Total CO2 Emissions: 551.337 g
Date: 116.612159667 | Trip: 1242 | Vehicle ID: 450 | Total Distance: 15.157 km | Total Time: 1472.800 secs | Total Idling Time: 232.400 secs | Total Fuel Consumed: 0.755 L | Total CO2 Emissions: 875.209 g
Date: 118.632116111 | Trip: 1249 | Vehicle ID: 450 | Total Distance: 6.790 km | Total Time: 544.700 secs | Total Idling Time: 131.400 secs | Total Fuel Consumed: 0.383 L | Total CO2 Emissions: 437.738 g
Date: 119.600701685 | Trip: 1259 | Vehicle ID: 450 | Total Distance: 13.006 km | Total Time: 633.800 secs | Total Idling Time: 63.700 secs | Total Fuel Consumed: 0.731 L | Total CO2 Emissions: 861.189 g
Date: 120.602501324 | Trip: 1263 | Vehicle ID: 450 | Total Distance: 13.732 km | Total Time: 1306.700 secs | Total Idling Time: 202.600 secs | Total Fuel Consumed: 0.691 L | Total CO2 Emissions: 841.435 g
Date: 120.899592963 | Trip: 1265 | Vehicle ID: 450 | Total Distance: 6.393 km | Total Time: 657.800 secs | Total Idling Time: 57.200 secs | Total Fuel Consumed: 0.232 L | Total CO2 Emissions: 297.222 g
Date: 122.707236333 | Trip: 1274 | Vehicle ID: 450 | Total Distance: 1.177 km | Total Time: 78.800 secs | Total Idling Time: 0.000 secs | Total Fuel Consumed: 0.058 L | Total CO2 Emissions: 70.904 g
Date: 122.857460759 | Trip: 1276 | Vehicle ID: 450 | Total Distance: 4.593 km | Total Time: 498.800 secs | Total Idling Time: 111.400 secs | Total Fuel Consumed: 0.232 L | Total CO2 Emissions: 282.090 g
Date: 123.601523407 | Trip: 1279 | Vehicle ID: 450 | Total Distance: 17.325 km | Total Time: 1971.000 secs | Total Idling Time: 414.000 secs | Total Fuel Consumed: 0.940 L | Total CO2 Emissions: 1101.094 g
Date: 123.80131737 | Trip: 1280 | Vehicle ID: 450 | Total Distance: 1.764 km | Total Time: 363.300 secs | Total Idling Time: 66.400 secs | Total Fuel Consumed: 0.100 L | Total CO2 Emissions: 114.146 g
Date: 124.904298241 | Trip: 1284 | Vehicle ID: 450 | Total Distance: 9.410 km | Total Time: 871.600 secs | Total Idling Time: 114.900 secs | Total Fuel Consumed: 0.458 L | Total CO2 Emissions: 509.894 g
Date: 131.83491125 | Trip: 1296 | Vehicle ID: 450 | Total Distance: 1.775 km | Total Time: 258.100 secs | Total Idling Time: 103.700 secs | Total Fuel Consumed: 0.144 L | Total CO2 Emissions: 165.399 g
Date: 136.003731722 | Trip: 1313 | Vehicle ID: 450 | Total Distance: 1.885 km | Total Time: 117.900 secs | Total Idling Time: 8.200 secs | Total Fuel Consumed: 0.089 L | Total CO2 Emissions: 101.710 g
Date: 136.834464583 | Trip: 1316 | Vehicle ID: 450 | Total Distance: 1.165 km | Total Time: 180.000 secs | Total Idling Time: 58.100 secs | Total Fuel Consumed: 0.068 L | Total CO2 Emissions: 67.476 g
Date: 136.990958259 | Trip: 1318 | Vehicle ID: 450 | Total Distance: 3.005 km | Total Time: 228.200 secs | Total Idling Time: 0.000 secs | Total Fuel Consumed: 0.180 L | Total CO2 Emissions: 220.274 g
Date: 137.602540806 | Trip: 1319 | Vehicle ID: 450 | Total Distance: 15.160 km | Total Time: 1594.200 secs | Total Idling Time: 405.500 secs | Total Fuel Consumed: 0.761 L | Total CO2 Emissions: 899.220 g
Date: 137.92829587 | Trip: 1324 | Vehicle ID: 450 | Total Distance: 10.640 km | Total Time: 958.400 secs | Total Idling Time: 67.900 secs | Total Fuel Consumed: 0.471 L | Total CO2 Emissions: 588.341 g
Date: 139.97632887 | Trip: 1329 | Vehicle ID: 450 | Total Distance: 3.004 km | Total Time: 249.900 secs | Total Idling Time: 23.100 secs | Total Fuel Consumed: 0.155 L | Total CO2 Emissions: 187.603 g
